order_id,order_timestamp,store_id,store_location_city,customer_id,customer_email,product_category,product_sku,quantity_sold,sale_amount
dbd6c0ed-b9cf-4f12-978b-32cb07b648bb,2026-05-23T03:50:46.983Z,86626159,Sonjaville,Home Loan Account,Amiya38@yahoo.com,Tools,talus,7,4738.23
b7976d63-9cb1-483a-9f12-04cee7ed20e7,2026-04-16T15:59:36.559Z,82522966,Cassinstad,Savings Account,Jane.Balistreri72@yahoo.com,Kids,utroque,6,4400.55
67434dfe-6b7c-4244-ab66-cd1f64e32054,2026-06-28T15:11:00.766Z,86400120,Auburn,Home Loan Account,Jon79@hotmail.com,Music,delectus,2,4320.26
bd0f24f6-36fd-4f3f-9a25-409bf48dbbea,2026-04-18T16:12:38.141Z,38761065,Leschfort,Home Loan Account,Johnnie_Nikolaus16@gmail.com,Automotive,demergo,5,3518.78
f872e767-ebba-4796-8cda-ae592c202cfc,2026-05-06T13:28:07.020Z,60017080,Sanfordville,Investment Account,Garrison54@yahoo.com,Clothing,centum,9,3731.57
c0615549-f370-4325-ac1b-18fabd5f7a1f,2026-06-12T21:10:24.624Z,38774216,St. Louis,Auto Loan Account,Rachel.Rolfson@hotmail.com,Books,facilis,6,1812.18
187541a1-363b-4e03-9d43-e4a52ee7a622,2026-04-24T04:14:27.188Z,35188970,East Rileyfurt,Money Market Account,Rene_Dach36@yahoo.com,Outdoors,bardus,6,4802.2
59b47f13-9ed0-4ff4-b925-eb4653619c5a,2026-04-06T22:25:58.697Z,79136709,West Fredericberg,Personal Loan Account,Kelvin57@hotmail.com,Industrial,adhaero,10,904.04
8aab8083-496e-49ca-a83e-c06914066a1e,2026-06-07T15:27:50.805Z,4697816,Rathton,Credit Card Account,Glenn_McGlynn55@hotmail.com,Health,uter,4,4377.2
89e33c03-ecf6-45d8-a775-2d5b30cc8609,2026-05-05T15:54:48.000Z,92763720,Tracicester,Checking Account,Elbert11@hotmail.com,Grocery,attollo,6,979.07
95bfc68c-4c2b-4140-968f-b05ac3f9da3c,2026-04-19T01:25:35.139Z,2575979,Bonita Springs,Investment Account,Rosemary.Kessler15@hotmail.com,Tools,conqueror,2,1813.73
3316fc04-8742-4983-88fa-7ed098898310,2026-06-30T13:00:20.214Z,15662850,Escondido,Home Loan Account,Evans86@hotmail.com,Games,verus,6,702.48
cf5d7940-5c85-4d2b-b623-cbc16fa8cc66,2026-04-04T10:35:43.051Z,24113252,North Lloyd,Savings Account,Janick93@yahoo.com,Grocery,alii,6,2148.23
9aef3da3-142d-483a-91be-dc1a8cf47368,2026-04-19T20:17:37.856Z,58334070,Jessicafield,Savings Account,Shaniya.OConner@gmail.com,Kids,vomito,6,1017.8
195f48a8-ad54-4d25-9ca0-5e8aa203555b,2026-04-27T03:36:48.362Z,96904845,Maxinestead,Investment Account,Tyrel_Hoeger41@gmail.com,Books,temporibus,1,2735.44
256d6c8a-a2b4-4aa7-bf7d-6d5ff7f80da4,2026-05-23T13:31:38.236Z,26884885,Lake Magnoliafort,Checking Account,Arlo72@yahoo.com,Outdoors,cumque,4,2781.53
6574b300-c05b-42e0-8163-4fe15fc8334d,2026-04-21T17:49:14.804Z,2623911,Lancaster,Personal Loan Account,Linda71@gmail.com,Computers,volva,7,3825.75
d029c106-cc80-4b99-a11d-ebc755f8c74e,2026-04-18T22:46:43.086Z,30592123,Jovaniworth,Auto Loan Account,Moses_Gusikowski9@yahoo.com,Movies,curatio,10,2734.48
